dataset,task,method,variant,seed,state,source,detail
IMDB,nc,Independent,v1,1566911444,unreadable,results\imdb_nc\IMDb1\seed1566911444.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v1,20241017,unreadable,results\imdb_nc\IMDb1\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v1,20251017,unreadable,results\imdb_nc\IMDb1\seed20251017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v2,1566911444,unreadable,results\imdb_nc\IMDb2\seed1566911444.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v2,20241017,unreadable,results\imdb_nc\IMDb2\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v2,20251017,unreadable,results\imdb_nc\IMDb2\seed20251017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v3,1566911444,unreadable,results\imdb_nc\IMDb3\seed1566911444.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v3,20241017,unreadable,results\imdb_nc\IMDb3\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v3,20251017,unreadable,results\imdb_nc\IMDb3\seed20251017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v4,1566911444,unreadable,results\imdb_nc_v4_fixed\IMDb4\seed1566911444.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v4,20241017,unreadable,results\imdb_nc_v4_fixed\IMDb4\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Independent,v4,20251017,unreadable,results\imdb_nc_v4_fixed\IMDb4\seed20251017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Universal graph,universal,1566911444,unreadable,results\imdb_nc_universal\IMDb_universal\seed1566911444.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Universal graph,universal,20241017,unreadable,results\imdb_nc_universal\IMDb_universal\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Universal graph,universal,20251017,unreadable,results\imdb_nc_universal\IMDb_universal\seed20251017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Augmentation,v1,1566911444,loaded,results\imdb_nc_augmentation_v4_fixed\seed_1566911444\test_scores_v1.csv,
IMDB,nc,Augmentation,v1,20241017,loaded,results\imdb_nc_augmentation_v4_fixed\seed_20241017\test_scores_v1.csv,
IMDB,nc,Augmentation,v1,20251017,loaded,results\imdb_nc_augmentation_v4_fixed\seed_20251017\test_scores_v1.csv,
IMDB,nc,Augmentation,v2,1566911444,loaded,results\imdb_nc_augmentation_v4_fixed\seed_1566911444\test_scores_v2.csv,
IMDB,nc,Augmentation,v2,20241017,loaded,results\imdb_nc_augmentation_v4_fixed\seed_20241017\test_scores_v2.csv,
IMDB,nc,Augmentation,v2,20251017,loaded,results\imdb_nc_augmentation_v4_fixed\seed_20251017\test_scores_v2.csv,
IMDB,nc,Augmentation,v3,1566911444,loaded,results\imdb_nc_augmentation_v4_fixed\seed_1566911444\test_scores_v3.csv,
IMDB,nc,Augmentation,v3,20241017,loaded,results\imdb_nc_augmentation_v4_fixed\seed_20241017\test_scores_v3.csv,
IMDB,nc,Augmentation,v3,20251017,loaded,results\imdb_nc_augmentation_v4_fixed\seed_20251017\test_scores_v3.csv,
IMDB,nc,Augmentation,v4,1566911444,loaded,results\imdb_nc_augmentation_v4_fixed\seed_1566911444\test_scores_v4.csv,
IMDB,nc,Augmentation,v4,20241017,loaded,results\imdb_nc_augmentation_v4_fixed\seed_20241017\test_scores_v4.csv,
IMDB,nc,Augmentation,v4,20251017,loaded,results\imdb_nc_augmentation_v4_fixed\seed_20251017\test_scores_v4.csv,
IMDB,nc,Invariant,v1,1566911444,unreadable,results\imdb_nc_invariant\IMDb_invariant_v1\seed1566911444.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Invariant,v1,20241017,unreadable,results\imdb_nc_invariant\IMDb_invariant_v1\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
IMDB,nc,Invariant,v1,20251017,missing,results\imdb_nc_invariant\IMDb_invariant_v1\seed20251017.pt,
IMDB,nc,Invariant,v2,1566911444,missing,results\imdb_nc_invariant\IMDb_invariant_v2\seed1566911444.pt,
IMDB,nc,Invariant,v2,20241017,missing,results\imdb_nc_invariant\IMDb_invariant_v2\seed20241017.pt,
IMDB,nc,Invariant,v2,20251017,missing,results\imdb_nc_invariant\IMDb_invariant_v2\seed20251017.pt,
IMDB,nc,Invariant,v3,1566911444,missing,results\imdb_nc_invariant\IMDb_invariant_v3\seed1566911444.pt,
IMDB,nc,Invariant,v3,20241017,missing,results\imdb_nc_invariant\IMDb_invariant_v3\seed20241017.pt,
IMDB,nc,Invariant,v3,20251017,missing,results\imdb_nc_invariant\IMDb_invariant_v3\seed20251017.pt,
IMDB,nc,Invariant,v4,1566911444,missing,results\imdb_nc_invariant\IMDb_invariant_v4\seed1566911444.pt,
IMDB,nc,Invariant,v4,20241017,missing,results\imdb_nc_invariant\IMDb_invariant_v4\seed20241017.pt,
IMDB,nc,Invariant,v4,20251017,missing,results\imdb_nc_invariant\IMDb_invariant_v4\seed20251017.pt,
DBLP,lp,Independent,v1,1566911444,unreadable,results\dblp_lp\DBLP1\seed1566911444.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Independent,v1,20241017,unreadable,results\dblp_lp\DBLP1\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Independent,v1,20251017,unreadable,results\dblp_lp\DBLP1\seed20251017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Independent,v2,1566911444,unreadable,results\dblp_lp\DBLP2\seed1566911444.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Independent,v2,20241017,unreadable,results\dblp_lp\DBLP2\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Independent,v2,20251017,unreadable,results\dblp_lp\DBLP2\seed20251017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Independent,v3,1566911444,unreadable,results\dblp_lp\DBLP3\seed1566911444.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Independent,v3,20241017,unreadable,results\dblp_lp\DBLP3\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Independent,v3,20251017,unreadable,results\dblp_lp\DBLP3\seed20251017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Universal graph,universal,1566911444,unreadable,results\dblp_lp\DBLP_universal\seed1566911444.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Universal graph,universal,20241017,unreadable,results\dblp_lp\DBLP_universal\seed20241017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Universal graph,universal,20251017,unreadable,results\dblp_lp\DBLP_universal\seed20251017.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
DBLP,lp,Augmentation,v1,1566911444,unreadable,results\dblp_lp_augmentation\seed_1566911444\test_v1.pt,PyTorch is required to read the saved .pt result artifacts. Run this script in the same environment used for PAIN.
