dataset,task,method,variant,n_seeds,expected_seeds,complete,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,hits_at_1_mean,hits_at_1_std,hits_at_3_mean,hits_at_3_std,mrr_mean,mrr_std
DBLP,lp,Independent,v1,0,3,False,,,,,,,,,,,,
DBLP,lp,Independent,v2,0,3,False,,,,,,,,,,,,
DBLP,lp,Independent,v3,0,3,False,,,,,,,,,,,,
DBLP,lp,Universal graph,universal,0,3,False,,,,,,,,,,,,
DBLP,lp,Augmentation,v1,0,3,False,,,,,,,,,,,,
DBLP,lp,Augmentation,v2,0,3,False,,,,,,,,,,,,
DBLP,lp,Augmentation,v3,0,3,False,,,,,,,,,,,,
DBLP,lp,Invariant,v1,0,3,False,,,,,,,,,,,,
DBLP,lp,Invariant,v2,0,3,False,,,,,,,,,,,,
DBLP,lp,Invariant,v3,0,3,False,,,,,,,,,,,,
