dataset,method,variant_a,variant_b,matched_seeds,expected_seeds,complete,kendall_tau_b_mean,kendall_tau_b_std
IMDB,Independent,v1,v2,0,3,False,,
IMDB,Independent,v1,v3,0,3,False,,
IMDB,Independent,v1,v4,0,3,False,,
IMDB,Independent,v2,v3,0,3,False,,
IMDB,Independent,v2,v4,0,3,False,,
IMDB,Independent,v3,v4,0,3,False,,
IMDB,Augmentation,v1,v2,3,3,True,0.25199362041467305,0.07232053268844567
IMDB,Augmentation,v1,v3,3,3,True,0.29611908559276984,0.07730815671925506
IMDB,Augmentation,v1,v4,3,3,True,0.5473152578415736,0.21265849274794812
IMDB,Augmentation,v2,v3,3,3,True,0.7065390749601276,0.06906410629562117
IMDB,Augmentation,v2,v4,3,3,True,0.3229665071770335,0.08590507051064787
IMDB,Augmentation,v3,v4,3,3,True,0.3043593833067517,0.06466163361864236
IMDB,Invariant,v1,v2,0,3,False,,
IMDB,Invariant,v1,v3,0,3,False,,
IMDB,Invariant,v1,v4,0,3,False,,
IMDB,Invariant,v2,v3,0,3,False,,
IMDB,Invariant,v2,v4,0,3,False,,
IMDB,Invariant,v3,v4,0,3,False,,
