dataset,method,variant_a,variant_b,seed,kendall_tau_b
IMDB,Augmentation,v1,v2,1566911444,0.1953748006379585
IMDB,Augmentation,v1,v2,20241017,0.35406698564593303
IMDB,Augmentation,v1,v2,20251017,0.2065390749601276
IMDB,Augmentation,v1,v3,1566911444,0.3349282296650718
IMDB,Augmentation,v1,v3,20241017,0.36523125996810213
IMDB,Augmentation,v1,v3,20251017,0.1881977671451356
IMDB,Augmentation,v1,v4,1566911444,0.28309409888357256
IMDB,Augmentation,v1,v4,20241017,0.8038277511961722
IMDB,Augmentation,v1,v4,20251017,0.5550239234449761
IMDB,Augmentation,v2,v3,1566911444,0.689792663476874
IMDB,Augmentation,v2,v3,20241017,0.631578947368421
IMDB,Augmentation,v2,v3,20251017,0.7982456140350878
IMDB,Augmentation,v2,v4,1566911444,0.20414673046251997
IMDB,Augmentation,v2,v4,20241017,0.36044657097288674
IMDB,Augmentation,v2,v4,20251017,0.4043062200956938
IMDB,Augmentation,v3,v4,1566911444,0.21291866028708134
IMDB,Augmentation,v3,v4,20241017,0.3492822966507177
IMDB,Augmentation,v3,v4,20251017,0.3508771929824562
