dataset,task,method,variant,n_seeds,expected_seeds,complete,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_micro_mean,f1_micro_std,f1_macro_mean,f1_macro_std
IMDB,nc,Independent,v1,0,3,False,,,,,,,,,,
IMDB,nc,Independent,v2,0,3,False,,,,,,,,,,
IMDB,nc,Independent,v3,0,3,False,,,,,,,,,,
IMDB,nc,Independent,v4,0,3,False,,,,,,,,,,
IMDB,nc,Universal graph,universal,0,3,False,,,,,,,,,,
IMDB,nc,Augmentation,v1,3,3,True,0.4043062200956937,0.027693389719593838,0.4353943651239686,0.026046943755681215,0.4057864837958333,0.020003790006945115,0.4043062200956937,0.027693389719593838,0.37454183903424854,0.038185845590496564
IMDB,nc,Augmentation,v2,3,3,True,0.472488038277512,0.0019533411026979195,0.4903137411328114,0.01706261677569935,0.47522372113334327,0.007516358805369766,0.472488038277512,0.0019533411026979195,0.46131334386448913,0.011174197746040152
IMDB,nc,Augmentation,v3,3,3,True,0.4892344497607655,0.01384669485979691,0.4993258779893508,0.019938175576522697,0.4901607113819813,0.016638987591811916,0.4892344497607655,0.01384669485979691,0.4830954629726145,0.014252016618097677
IMDB,nc,Augmentation,v4,3,3,True,0.38237639553429026,0.018896324738553103,0.45446345431510315,0.06621287482286355,0.3783873402591751,0.009010938713276528,0.38237639553429026,0.018896324738553103,0.33809888938583327,0.021027246717670228
IMDB,nc,Invariant,v1,0,3,False,,,,,,,,,,
IMDB,nc,Invariant,v2,0,3,False,,,,,,,,,,
IMDB,nc,Invariant,v3,0,3,False,,,,,,,,,,
IMDB,nc,Invariant,v4,0,3,False,,,,,,,,,,
