dataset,method,training_graph,n_seeds,expected_seeds,complete,training_time_sec_mean,training_time_sec_std,epochs_mean,epochs_std,parameter_mib_mean,parameter_mib_std,peak_training_gpu_mib_mean,peak_training_gpu_mib_std,peak_inference_gpu_mib_mean,peak_inference_gpu_mib_std
IMDB,Independent,v1,0,3,False,,,,,,,,,,
IMDB,Independent,v2,0,3,False,,,,,,,,,,
IMDB,Independent,v3,0,3,False,,,,,,,,,,
IMDB,Independent,v4,0,3,False,,,,,,,,,,
IMDB,Universal graph,universal,0,3,False,,,,,,,,,,
IMDB,Augmentation,shared,3,3,True,7208.646948971786,4464.362527038044,461.3333333333333,270.35449978788137,3.711925506591797,0.0,6439.0693359375,0.1595133461465747,4215.814615885417,0.2496202551736169
IMDB,Invariant,v1,0,3,False,,,,,,,,,,
IMDB,Invariant,v2,0,3,False,,,,,,,,,,
IMDB,Invariant,v3,0,3,False,,,,,,,,,,
IMDB,Invariant,v4,0,3,False,,,,,,,,,,
