dataset,task,method,variant,seed,source,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,epochs,parameter_mib,peak_inference_gpu_mib,peak_training_gpu_mib,training_time_sec
IMDB,nc,Augmentation,v1,20241017,results\imdb_nc_augmentation_v4_fixed\seed_20241017\test_scores_v1.csv,0.37799043062200954,0.33058066551561377,0.37799043062200954,0.45904785935988435,0.3874767555133742,340.0,3.711925506591797,4216.15576171875,6438.95654296875,5270.57635455206
IMDB,nc,Augmentation,v1,20251017,results\imdb_nc_augmentation_v4_fixed\seed_20251017\test_scores_v1.csv,0.3923444976076555,0.3693599586313174,0.3923444976076555,0.39911257606490874,0.39626535239118027,208.0,3.711925506591797,4215.5654296875,6438.95654296875,2973.961371892132
IMDB,nc,Augmentation,v1,1566911444,results\imdb_nc_augmentation_v4_fixed\seed_1566911444\test_scores_v1.csv,0.44258373205741625,0.4236848929558145,0.44258373205741625,0.44802265994711266,0.43361734348294534,836.0,3.711925506591797,4215.72265625,6439.294921875,13381.403120471165
IMDB,nc,Augmentation,v2,20241017,results\imdb_nc_augmentation_v4_fixed\seed_20241017\test_scores_v2.csv,0.4748803827751196,0.4716230015615463,0.4748803827751196,0.4757560961108774,0.46989917320069247,340.0,3.711925506591797,4216.15576171875,6438.95654296875,5270.57635455206
IMDB,nc,Augmentation,v2,20251017,results\imdb_nc_augmentation_v4_fixed\seed_20251017\test_scores_v2.csv,0.47248803827751196,0.44578656912675796,0.47248803827751196,0.4809265633613747,0.4699185383836728,208.0,3.711925506591797,4215.5654296875,6438.95654296875,2973.961371892132
IMDB,nc,Augmentation,v2,1566911444,results\imdb_nc_augmentation_v4_fixed\seed_1566911444\test_scores_v2.csv,0.4700956937799043,0.466530460905163,0.4700956937799043,0.5142585639261823,0.4858534518156645,836.0,3.711925506591797,4215.72265625,6439.294921875,13381.403120471165
IMDB,nc,Augmentation,v3,20241017,results\imdb_nc_augmentation_v4_fixed\seed_20241017\test_scores_v3.csv,0.4700956937799043,0.4694814335170194,0.4700956937799043,0.4711328598248388,0.4706924563274388,340.0,3.711925506591797,4216.15576171875,6438.95654296875,5270.57635455206
IMDB,nc,Augmentation,v3,20251017,results\imdb_nc_augmentation_v4_fixed\seed_20251017\test_scores_v3.csv,0.49521531100478466,0.47703105128332696,0.49521531100478466,0.5130204379927524,0.4884482609940342,208.0,3.711925506591797,4215.5654296875,6438.95654296875,2973.961371892132
IMDB,nc,Augmentation,v3,1566911444,results\imdb_nc_augmentation_v4_fixed\seed_1566911444\test_scores_v3.csv,0.5023923444976076,0.5027739041174973,0.5023923444976076,0.5138243361504612,0.511341416824471,836.0,3.711925506591797,4215.72265625,6439.294921875,13381.403120471165
IMDB,nc,Augmentation,v4,20241017,results\imdb_nc_augmentation_v4_fixed\seed_20241017\test_scores_v4.csv,0.3684210526315789,0.31009171318224166,0.3684210526315789,0.537796566129,0.3810942669532464,340.0,3.711925506591797,4216.15576171875,6438.95654296875,5270.57635455206
IMDB,nc,Augmentation,v4,20251017,results\imdb_nc_augmentation_v4_fixed\seed_20251017\test_scores_v4.csv,0.3696172248803828,0.34344706197972946,0.3696172248803828,0.37581161018402803,0.36624963212419387,208.0,3.711925506591797,4215.5654296875,6438.95654296875,2973.961371892132
IMDB,nc,Augmentation,v4,1566911444,results\imdb_nc_augmentation_v4_fixed\seed_1566911444\test_scores_v4.csv,0.4090909090909091,0.3607578929955287,0.4090909090909091,0.44978218663228153,0.38781812170008506,836.0,3.711925506591797,4215.72265625,6439.294921875,13381.403120471165
